Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,2
가족,가족,1,5
감기,질병,0.6120592355728149,4
감동,기쁨,0.6450744271278381,1
감염,질병,0.6859014630317688,5
개그,개그,1,2
거리,도시,0.60332190990448,1
거미,좀비,0.6427518129348755,1
검사,심리,0.583127498626709,1
격리,수색,0.6269633769989014,1
계급,평등,0.6543788909912109,1
공포,공포,1,1
구멍,상처,0.5373755693435669,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,2
군인,군대,0.6802380084991455,2
기분,유쾌,0.6678951382637024,1
기억,사랑,0.6537694931030273,1
남자,사랑,0.5456969141960144,1
남편,가족,0.6233720779418945,1
납득,용서,0.5769292116165161,1
노출,충격,0.60725998878479,1
느낌,슬픔,0.6343626976013184,1
단체,종교,0.635517418384552,1
대피,재난,0.6124057769775391,1
도시,도시,1,1
드라마,드라마,1,1
로맨스,로맨스,1,1
매체,방송,0.6981302499771118,1
맹목,욕망,0.6913981437683105,1
명작,만화,0.6867616772651672,1
모녀,가족,0.6818090677261353,1
모성애,자기성찰,0.5165060758590698,1
모순,갈등,0.6281998157501221,1
모습,꿈,0.5368646383285522,2
몰입,열정,0.6674494743347168,2
미스터리,미스터리,1,1
밀집,도시,0.6222311854362488,1
바이러스,질병,0.5053297281265259,4
반점,동물,0.5513553023338318,1
발병,질병,0.6885514855384827,1
발암,질병,0.5669583082199097,2
발전,성장,0.7311267852783203,1
방역,재난,0.6797944903373718,1
벌레,동물,0.6886223554611206,1
부대,군대,0.6763806939125061,1
부성애,사랑,0.6310836672782898,1
사고,의심,0.5630502700805664,1
사람,꿈,0.5610076785087585,11
사태,혼란,0.6536093354225159,2
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,5
세계,경제,0.6071235537528992,1
소방대원,재난,0.5087079405784607,1
수용소,감옥,0.6408903002738953,1
시작,발견,0.534450113773346,2
실력,춤,0.5194166302680969,1
싸가지,부도덕,0.5230343341827393,2
악당,좀비,0.6801067590713501,1
애정,사랑,0.719462513923645,1
엄마,사랑,0.5908297300338745,2
여자,사랑,0.5380519032478333,5
연출,액션,0.5377380847930908,1
영화,만화,0.7536719441413879,17
영화사,드라마,0.5089171528816223,1
옛날,시골,0.5727385878562927,1
외형,성장,0.5469393134117126,1
웃음,개그,0.6434062123298645,1
위험,불안,0.6922099590301514,1
유포,범죄,0.5601751804351807,1
육군,군대,0.749611496925354,1
의견,갈등,0.5687873959541321,1
이름,신화,0.5608668327331543,2
이해,철학,0.5395932197570801,3
인물,정치,0.5848035216331482,5
인상,기대,0.6044384241104126,1
자막,방송,0.6141181588172913,1
작전,전투,0.6892815232276917,1
작중,액션,0.5323927402496338,2
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,3
장벽,불안,0.5758340358734131,1
재난,재난,1,11
저금통,인형,0.5797374248504639,1
적응,환경,0.6063060760498047,1
전문,의료,0.6444779634475708,1
전염병,질병,0.6172308325767517,1
조폭,범죄,0.6374698281288147,1
주입,충격,0.5102196931838989,1
증세,불안,0.6000735759735107,1
지구,우주,0.7121323943138123,9
진입,추격,0.5556859374046326,1
치사,살인,0.584929347038269,1
칭찬,열정,0.5763967633247375,1
캐릭터,인형,0.5306801795959473,6
컬러,액션,0.5884228348731995,1
특이,의심,0.5189300179481506,1
특징,환경,0.5862691402435303,1
평론가,다큐멘터리,0.5252968668937683,1
폐쇄,수색,0.5324417948722839,1
표현,대화,0.5644240975379944,1
피부,상처,0.6124958992004395,1
학교,학교,1,1
항체,동물,0.5186046957969666,1
헌신,헌신,1,1
헬기,수색,0.6454448103904724,1
현장,교육,0.5853086113929749,1
혈압,질병,0.5009716153144836,1
혼란,혼란,1,1
확산,성장,0.6305948495864868,1
확인,발견,0.6419516205787659,2

Category,Count,average
질병,7,0.5967146669115339
사랑,6,0.6131490369637808
재난,4,0.7002270519733429
액션,4,0.5646155029535294
가족,3,0.7683937152226766
혼란,3,0.7659670114517212
도시,3,0.7418510317802429
군대,3,0.7020767331123352
성장,3,0.6362203160921732
불안,3,0.622705856959025
수색,3,0.6016166607538859
환경,3,0.6009109020233154
동물,3,0.586194117863973
개그,2,0.8217031061649323
드라마,2,0.7544585764408112
만화,2,0.7202168107032776
좀비,2,0.6614292860031128
경제,2,0.6580289900302887
방송,2,0.6561242043972015
열정,2,0.6219231188297272
범죄,2,0.5988225042819977
갈등,2,0.5984936058521271
발견,2,0.5882008671760559
상처,2,0.5749357342720032
충격,2,0.5587398409843445
인형,2,0.5552088022232056
꿈,2,0.5489361584186554
의심,2,0.5409901440143585
공포,1,1.0
로맨스,1,1.0
미스터리,1,1.0
학교,1,1.0
헌신,1,1.0
음악,1,0.7329081892967224
우주,1,0.7121323943138123
욕망,1,0.6913981437683105
전투,1,0.6892815232276917
유쾌,1,0.6678951382637024
후회,1,0.6602693200111389
평등,1,0.6543788909912109
기쁨,1,0.6450744271278381
의료,1,0.6444779634475708
감옥,1,0.6408903002738953
종교,1,0.635517418384552
슬픔,1,0.6343626976013184
여행,1,0.6136982440948486
기대,1,0.6044384241104126
교육,1,0.5853086113929749
살인,1,0.584929347038269
정치,1,0.5848035216331482
심리,1,0.583127498626709
용서,1,0.5769292116165161
시골,1,0.5727385878562927
대화,1,0.5644240975379944
신화,1,0.5608668327331543
추격,1,0.5556859374046326
철학,1,0.5395932197570801
다큐멘터리,1,0.5252968668937683
부도덕,1,0.5230343341827393
춤,1,0.5194166302680969
자기성찰,1,0.5165060758590698
