Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
갈등,갈등,1,1
계획,여행,0.6060113906860352,2
관람,여행,0.5587009191513062,4
구속,충격,0.5845648646354675,1
국가,경제,0.7089344263076782,1
권총,도둑,0.5374994874000549,1
기억,사랑,0.6537694931030273,1
납치,살인,0.6689104437828064,1
단문,대화,0.5795148015022278,1
도주,추격,0.6170496940612793,2
도착,여행,0.6466491222381592,1
며느리,드라마,0.515521764755249,1
모습,꿈,0.5368646383285522,3
밀고자,도둑,0.527922511100769,1
바이러스,질병,0.5053297281265259,6
발생,혼란,0.6102904081344604,2
방향,미래,0.5546501278877258,1
배포,교육,0.5816227197647095,1
백신,의료,0.5905396342277527,1
변종,좀비,0.6061926484107971,1
분노,분노,1,1
사건,살인,0.7159186005592346,1
사람,꿈,0.5610076785087585,2
사진,미술,0.5546669960021973,1
살해,살인,0.6861730217933655,3
생각,후회,0.6602693200111389,1
설치,교육,0.5344357490539551,1
성공,성장,0.6859850287437439,1
세계,경제,0.6071235537528992,1
세상,기쁨,0.6082786321640015,5
스릴러,스릴러,1,1
습격,반란,0.656060516834259,3
시작,발견,0.534450113773346,1
신문,방송,0.6771079897880554,1
신약,질병,0.5712383389472961,1
아내,가족,0.582758903503418,2
아들,가족,0.5667959451675415,3
업계,방송,0.5229802131652832,1
영화,만화,0.7536719441413879,9
우려,혼란,0.6615874171257019,1
위장,질병,0.5374902486801147,2
위험,불안,0.6922099590301514,1
이혼,이별,0.6634467244148254,1
인질,도둑,0.5884345173835754,1
자객,해적,0.5808634757995605,1
자백,범죄,0.5797169804573059,1
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,1
전염병,질병,0.6172308325767517,1
정보,교통,0.6121577620506287,4
제약,환경,0.6168046593666077,2
제작,방송,0.6307950615882874,1
조직,군대,0.5703792572021484,1
줄거리,드라마,0.531794548034668,1
중계,방송,0.7659165263175964,1
추락,충격,0.5615158081054688,1
추모,희생,0.5564480423927307,1
추적,수색,0.6436203122138977,2
출동,수색,0.5925505757331848,1
캐릭터,인형,0.5306801795959473,1
포박,추격,0.599028468132019,1
폭로,충격,0.6623914837837219,2
하객,가족,0.5689576268196106,1
현장,교육,0.5853086113929749,2
형벌,범죄,0.6124672889709473,1
형사,탐정,0.7352063655853271,4

Category,Count,average
방송,4,0.6491999477148056
여행,4,0.6062649190425873
질병,4,0.5578222870826721
살인,3,0.6903340220451355
충격,3,0.6028240521748861
가족,3,0.5728374918301901
교육,3,0.5671223600705465
도둑,3,0.5512855052947998
경제,2,0.6580289900302887
혼란,2,0.6359389126300812
수색,2,0.6180854439735413
추격,2,0.6080390810966492
범죄,2,0.5960921347141266
꿈,2,0.5489361584186554
드라마,2,0.5236581563949585
갈등,1,1.0
분노,1,1.0
스릴러,1,1.0
만화,1,0.7536719441413879
탐정,1,0.7352063655853271
음악,1,0.7329081892967224
불안,1,0.6922099590301514
성장,1,0.6859850287437439
이별,1,0.6634467244148254
후회,1,0.6602693200111389
반란,1,0.656060516834259
사랑,1,0.6537694931030273
환경,1,0.6168046593666077
교통,1,0.6121577620506287
기쁨,1,0.6082786321640015
좀비,1,0.6061926484107971
액션,1,0.5999083518981934
의료,1,0.5905396342277527
해적,1,0.5808634757995605
대화,1,0.5795148015022278
군대,1,0.5703792572021484
희생,1,0.5564480423927307
미술,1,0.5546669960021973
미래,1,0.5546501278877258
발견,1,0.534450113773346
인형,1,0.5306801795959473
