Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
감상,음악,0.6411212086677551,1
강도,저항,0.6040131449699402,3
걱정,후회,0.651527464389801,1
결혼,연애,0.6863196492195129,1
고난,고통,0.6465856432914734,1
공격,전투,0.6404148936271667,1
공포,공포,1,2
관람,여행,0.5587009191513062,3
나락,절망,0.5650247931480408,2
남자,사랑,0.5456969141960144,3
남편,가족,0.6233720779418945,2
눈곱,상처,0.5239483714103699,1
느낌,슬픔,0.6343626976013184,1
도착,여행,0.6466491222381592,1
라스,정글,0.5619231462478638,1
마음,기쁨,0.6783162951469421,1
막간,개그,0.5727623105049133,1
맥락,질서,0.601793110370636,1
모래,바다,0.6612087488174438,1
모습,꿈,0.5368646383285522,2
몰입,열정,0.6674494743347168,1
미스터리,미스터리,1,1
방향,미래,0.5546501278877258,1
벨트,의료,0.5290338397026062,1
불안,불안,1,1
불행,절망,0.6734789609909058,1
사건,살인,0.7159186005592346,1
사람,꿈,0.5610076785087585,6
사랑,사랑,1,3
사투,추격,0.57225102186203,1
상황,혼란,0.6442916989326477,1
생각,후회,0.6602693200111389,3
생활,환경,0.7009555697441101,1
성공,성장,0.6859850287437439,1
손톱,상처,0.6537156105041504,1
수업,교육,0.711469292640686,1
스릴러,스릴러,1,5
시작,발견,0.534450113773346,1
아내,가족,0.582758903503418,5
여자,사랑,0.5380519032478333,4
역경,절망,0.6212114691734314,1
열대,바다,0.6847915053367615,1
영화,만화,0.7536719441413879,23
예고편,드라마,0.5787103772163391,1
외면,고통,0.6066063046455383,1
위기,혼란,0.6975850462913513,6
위험,불안,0.6922099590301514,2
이름,신화,0.5608668327331543,1
이웃,가족,0.6304181218147278,1
이혼,이별,0.6634467244148254,8
인물,정치,0.5848035216331482,2
일말,액션,1,2
자책,후회,0.5883148312568665,2
전반,정치,0.5626547336578369,1
정보,교통,0.6121577620506287,6
조각,인형,0.646467387676239,1
줄거리,드라마,0.531794548034668,2
증오,분노,0.7408210039138794,1
지방,도시,0.6361674070358276,1
직업,교육,0.6447048187255859,2
진흙,바다,0.5553908944129944,2
질문,대화,0.5432519912719727,1
추천,여행,0.5768113136291504,2
출현,발견,0.6073639988899231,2
치아,상처,0.5176803469657898,1
코미디,코미디,1,1
포토,동정,0.5201435089111328,5
폭우,재난,0.6067242622375488,3
표정,유쾌,0.5511194467544556,1
함박눈,설원,0.5717843174934387,1
해석,심리,0.5405862331390381,6
해피엔딩,로맨스,0.6157752275466919,1
화장,인형,0.5367721319198608,1
화해,대화,0.665494978427887,1
확인,발견,0.6419516205787659,1

Category,Count,average
여행,4,0.5989648997783661
사랑,3,0.6945829391479492
바다,3,0.6337970495223999
후회,3,0.6333705385526022
절망,3,0.6199050744374593
가족,3,0.6121830344200134
발견,3,0.594588577747345
상처,3,0.5651147762934366
불안,2,0.8461049795150757
교육,2,0.678087055683136
혼란,2,0.6709383726119995
고통,2,0.6265959739685059
대화,2,0.6043734848499298
인형,2,0.5916197597980499
정치,2,0.5737291276454926
드라마,2,0.5552524626255035
꿈,2,0.5489361584186554
공포,1,1.0
미스터리,1,1.0
스릴러,1,1.0
액션,1,1.0
코미디,1,1.0
만화,1,0.7536719441413879
분노,1,0.7408210039138794
살인,1,0.7159186005592346
환경,1,0.7009555697441101
연애,1,0.6863196492195129
성장,1,0.6859850287437439
기쁨,1,0.6783162951469421
열정,1,0.6674494743347168
이별,1,0.6634467244148254
음악,1,0.6411212086677551
전투,1,0.6404148936271667
도시,1,0.6361674070358276
슬픔,1,0.6343626976013184
로맨스,1,0.6157752275466919
교통,1,0.6121577620506287
재난,1,0.6067242622375488
저항,1,0.6040131449699402
질서,1,0.601793110370636
개그,1,0.5727623105049133
추격,1,0.57225102186203
설원,1,0.5717843174934387
정글,1,0.5619231462478638
신화,1,0.5608668327331543
미래,1,0.5546501278877258
유쾌,1,0.5511194467544556
심리,1,0.5405862331390381
의료,1,0.5290338397026062
동정,1,0.5201435089111328
