Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,2
간식,음식,0.7144152522087097,3
간이,음식,0.5412473082542419,1
감상,음악,0.6411212086677551,1
감탄,열정,0.5392419099807739,1
개방,교육,0.5870132446289062,1
거리,도시,0.60332190990448,2
걱정,후회,0.651527464389801,1
게임,만화,0.7299426198005676,1
계단,괴담,0.5106033086776733,1
계획,여행,0.6060113906860352,1
공포,공포,1,2
관람,여행,0.5587009191513062,2
관심,기대,0.6249675154685974,1
구매,여행,0.5682201981544495,2
군만두,음식,0.5199329853057861,3
굿즈,인형,0.614889919757843,1
그림자,유령,0.5297560691833496,2
근처,학교,0.5683311223983765,2
기계,전기,0.6900599598884583,2
기대,기대,1,1
기분,유쾌,0.6678951382637024,2
냄새,음식,0.5817655324935913,1
냥이,인형,0.5773642659187317,2
노동자,시민운동,0.5217600464820862,1
노스포,좀비,0.5169889330863953,1
녹지,도시,0.5208501219749451,1
눈길,동정,0.5653472542762756,1
느낌,슬픔,0.6343626976013184,5
데이트,로맨스,0.5355676412582397,1
도시,도시,1,1
도심,도시,0.750744640827179,1
도움,기대,0.5482439994812012,1
독특,춤,0.5334261655807495,1
드라마,드라마,1,5
드론,해양,0.626142680644989,1
등대,바다,0.6214795112609863,1
뜨헉,액션,1,1
라디오,드라마,0.6265520453453064,1
리클,액션,1,1
마음,기쁨,0.6783162951469421,5
먹거리,음식,0.5923094749450684,2
모바일,컴퓨터,0.590937614440918,1
모양,인형,0.6405982375144958,3
몰입,열정,0.6674494743347168,2
문제,갈등,0.6495088934898376,1
바다,바다,1,1
바지,학교,0.5488675236701965,1
반찬,음식,0.6869131326675415,1
방문,여행,0.5841829180717468,5
방출,충격,0.545696496963501,1
볼륨,액션,0.6039969325065613,2
분수,춤,0.6253907084465027,1
불빛,꿈,0.5932316780090332,1
비하,폭력,0.5519798398017883,1
사람,꿈,0.5610076785087585,6
사방,정글,0.5186978578567505,2
사운드,음악,0.5262696146965027,6
사진,미술,0.5546669960021973,7
상영,방송,0.6350025534629822,2
생각,후회,0.6602693200111389,8
생활,환경,0.7009555697441101,1
선택,희망,0.5827092528343201,1
설탕,음식,0.6563788056373596,9
세트,인형,0.564244270324707,1
셀프,액션,0.6212833523750305,2
시리즈,만화,0.5106303691864014,4
시작,발견,0.534450113773346,4
시장,경제,0.6355687975883484,3
시즌,방송,0.5284544229507446,1
시청,방송,0.6024045944213867,1
식감,음식,0.5738456845283508,1
식사,음식,0.727923572063446,1
실력,춤,0.5194166302680969,1
심장,기쁨,0.5264105200767517,1
양념,음식,0.6289084553718567,1
양산,생존,0.5309751033782959,2
어선,수색,0.6524617075920105,1
얼음,바다,0.6190788745880127,1
여자,사랑,0.5380519032478333,1
연예,방송,0.7187750935554504,1
연출,액션,0.5377380847930908,1
영화,만화,0.7536719441413879,28
영화관,드라마,0.5831791758537292,8
예약,여행,0.7399519085884094,2
오빠,연애,0.5599910020828247,1
운전,교통,0.6394338011741638,1
원툴,액션,1,1
원한,고독,0.5244227647781372,1
위생,의료,0.6714643836021423,1
육수,음식,0.569003701210022,1
육아,교육,0.7042093276977539,1
음료,음식,0.7682728171348572,3
음향,음악,0.6697120070457458,1
이름,신화,0.5608668327331543,1
이해,철학,0.5395932197570801,1
인기,여행,0.6119158267974854,1
인상,기대,0.6044384241104126,1
인터넷,컴퓨터,0.609046220779419,1
일몰,여행,0.547944188117981,1
입체,미술,0.5655646920204163,3
자동차,전기,0.5792412161827087,1
자연,환경,0.6941760182380676,1
작동,환경,0.5148442983627319,1
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,3
장소,여행,0.6031988263130188,1
재난,재난,1,3
저녁,음식,0.5039622187614441,1
전화,대화,0.5852361917495728,1
절기,음식,0.5683047771453857,1
점심,음식,0.586047887802124,1
정확,의심,0.5156928300857544,1
젤리,좀비,0.578476071357727,1
주차,교통,0.6286762952804565,4
참혹,희생,0.5841884016990662,1
책방,유령,0.6041473150253296,3
철길,설원,0.5330963134765625,1
청력,상처,0.6498132944107056,1
체험,교육,0.6782315373420715,1
촬영,방송,0.6484997272491455,2
촬영지,드라마,0.6078488826751709,6
출력,전기,0.5477647185325623,3
치과,의료,0.7078388929367065,5
치즈,음식,0.5992159843444824,1
카페,유령,0.5409449934959412,4
커아,액션,1,1
커피,음식,0.710979700088501,3
코드,액션,0.5642611384391785,1
코스,여행,0.6127122640609741,3
콜라,폭력,0.5190795660018921,3
태풍,재난,0.5777968168258667,1
택시,교통,0.6628926396369934,1
특별,의료,0.5320938229560852,4
특징,환경,0.5862691402435303,1
특화,교육,0.5823708176612854,1
티비,방송,0.6468696594238281,1
티켓,여행,0.6218228340148926,6
파일럿,드라마,0.5027030110359192,1
팝콘,음식,0.529098629951477,8
패배,전투,0.6382880806922913,1
피곤,후회,0.6107902526855469,2
한번,후회,0.5221735835075378,1
해변,여행,0.6242720484733582,3
행복,기쁨,0.7726561427116394,2
희먕,액션,1,1
히트,음악,0.5558123588562012,1
힐링,정글,0.5479092597961426,1

Category,Count,average
음식,18,0.614362551106347
여행,12,0.5991924007733663
액션,10,0.7927187860012055
방송,6,0.6300010085105896
드라마,5,0.6640566229820252
음악,5,0.6251646757125855
도시,4,0.718729168176651
기대,4,0.6944124847650528
교육,4,0.6379562318325043
환경,4,0.62406125664711
후회,4,0.6111901551485062
인형,4,0.5992741733789444
바다,3,0.7468527952829996
만화,3,0.6647483110427856
기쁨,3,0.6591276526451111
교통,3,0.6436675786972046
의료,3,0.6371323664983114
전기,3,0.6056886315345764
춤,3,0.5594111680984497
유령,3,0.5582827925682068
재난,2,0.7888984084129333
열정,2,0.6033456921577454
컴퓨터,2,0.5999919176101685
꿈,2,0.5771196782588959
미술,2,0.5601158440113068
학교,2,0.5585993230342865
좀비,2,0.5477325022220612
폭력,2,0.5355297029018402
정글,2,0.5333035588264465
공포,1,1.0
유쾌,1,0.6678951382637024
수색,1,0.6524617075920105
상처,1,0.6498132944107056
갈등,1,0.6495088934898376
전투,1,0.6382880806922913
경제,1,0.6355687975883484
슬픔,1,0.6343626976013184
해양,1,0.626142680644989
대화,1,0.5852361917495728
희생,1,0.5841884016990662
희망,1,0.5827092528343201
동정,1,0.5653472542762756
신화,1,0.5608668327331543
연애,1,0.5599910020828247
충격,1,0.545696496963501
철학,1,0.5395932197570801
사랑,1,0.5380519032478333
로맨스,1,0.5355676412582397
발견,1,0.534450113773346
설원,1,0.5330963134765625
생존,1,0.5309751033782959
고독,1,0.5244227647781372
시민운동,1,0.5217600464820862
의심,1,0.5156928300857544
괴담,1,0.5106033086776733
