Word,Category,Similarity,Frequency
가구,가족,0.611595630645752,1
가난,고통,0.7040712237358093,1
가능,여행,0.6136982440948486,1
가슴,상처,0.6098507642745972,2
가정,가족,0.7013463377952576,1
가족,가족,1,12
가중,혼란,0.5712937712669373,1
가치,윤리,0.6346501111984253,3
갈등,갈등,1,5
갈망,욕망,0.7525596022605896,1
감내,고통,0.5415177941322327,1
감동,기쁨,0.6450744271278381,7
감상,음악,0.6411212086677551,4
감정,심리,0.7588332891464233,7
감퇴,혼란,0.6593866944313049,1
개성,자아,0.5115846395492554,1
개요,여행,0.5623396039009094,1
갱단,해적,0.6509640216827393,1
거지,도둑,0.6057764291763306,1
건물,학교,0.6180571913719177,1
격려,동정,0.5737254619598389,1
격분,분노,0.5999071598052979,1
견장,액션,0.5777868628501892,2
경비,교통,0.6123348474502563,1
경향,정치,0.5916027426719666,1
경험,열정,0.6344258189201355,3
계단,괴담,0.5106033086776733,3
계획,여행,0.6060113906860352,1
고발,범죄,0.5842509865760803,1
고생,고통,0.5584161281585693,1
고충,불안,0.5883891582489014,2
고통,고통,1,7
과부,도둑,0.6016705632209778,1
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,1
관료주의,부조리,0.5194599032402039,1
관심,기대,0.6249675154685974,1
괴로움,고통,0.6400415301322937,2
교육,교육,1,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,5
군대,군대,1,2
군복,군대,0.6708796620368958,1
군부,독재,0.7003925442695618,1
군사,군사,1,1
군인,군대,0.6802380084991455,23
궁핍,고통,0.685816764831543,1
극복,고통,0.6304678916931152,2
근처,학교,0.5683311223983765,1
긍정,희망,0.608379602432251,2
기대,기대,1,1
기억,사랑,0.6537694931030273,3
기초,교육,0.6542633175849915,1
길바닥,춤,0.5293801426887512,2
난동,폭력,0.638001561164856,1
남편,가족,0.6233720779418945,3
내면,내면,1,5
내상,상처,0.5707229971885681,1
노력,헌신,0.6555296182632446,4
논픽션,만화,0.5550446510314941,1
느낌,슬픔,0.6343626976013184,1
데뷔,방송,0.5465471744537354,1
도전,열정,0.6956499814987183,1
독거,가족,0.6236088871955872,1
동물,동물,1,1
드라마,드라마,1,5
리더,성장,0.5860862135887146,1
리더십,자기성찰,0.5289939641952515,1
마비,혼란,0.6122421026229858,1
마약,범죄,0.71501225233078,1
마음,기쁨,0.6783162951469421,7
매력,열정,0.6489761471748352,2
메시지,대화,0.5048822164535522,1
모습,꿈,0.5368646383285522,7
모양,인형,0.6405982375144958,1
몰입,열정,0.6674494743347168,1
무단,폭력,0.5057473182678223,2
문제,갈등,0.6495088934898376,9
물음,절망,0.5957352519035339,1
미군,군사,0.6460919976234436,2
발효,음식,0.5444296002388,1
배려,헌신,0.6277512907981873,2
배신,배신,1,1
범죄,범죄,1,1
베테랑,탐정,0.5211659669876099,1
변화,성장,0.7235260605812073,4
병사,군대,0.6129758954048157,2
보험,의료,0.7324044108390808,1
봉합,상처,0.6296547055244446,1
부대,군대,0.6763806939125061,1
부모,가족,0.6875284910202026,1
불안,불안,1,2
비극,살인,0.6638696789741516,2
사건,살인,0.7159186005592346,1
사람,꿈,0.5610076785087585,12
사랑,사랑,1,4
사진,미술,0.5546669960021973,3
사회,경제,0.8096231818199158,7
상담,심리,0.672296941280365,2
상상,욕망,0.6180667877197266,1
상실증,정신병,0.6532266139984131,2
상처,상처,1,6
상품,여행,0.6432608962059021,1
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,21
생활,환경,0.7009555697441101,3
선택,희망,0.5827092528343201,1
성실,헌신,0.6314191222190857,1
성인,교육,0.5841577649116516,1
성장,성장,1,2
센터,의료,0.6881778836250305,1
소설,만화,0.8215566873550415,1
소통,대화,0.694833517074585,1
수당,교육,0.5034828782081604,1
수료,교육,0.5207006931304932,1
수색,수색,1,1
수행,성장,0.5646498799324036,1
순찰,수색,0.630205512046814,1
스나이퍼,서바이벌,0.5032299160957336,2
스트레스,무력감,0.6226179003715515,3
시뇨,액션,1,1
시리즈,만화,0.5106303691864014,3
시스템,컴퓨터,0.5808395743370056,3
시작,발견,0.534450113773346,1
시청자,방송,0.5191292762756348,1
식당,음식,0.6759225726127625,1
신체,자아,0.5770981311798096,3
실태,교육,0.6296263933181763,1
실화,공포,0.6056075096130371,2
싸움,전투,0.6696678996086121,4
아내,가족,0.582758903503418,13
아들,가족,0.5667959451675415,1
아픔,상처,0.7904168963432312,3
악몽,공포,0.6761541962623596,1
압박감,무력감,0.6311113238334656,1
앙상블,뮤지컬,0.5022584199905396,1
애국심,자존심,0.5142337679862976,1
액션,액션,1,2
어메리칸,카우보이,0.5181847810745239,3
얼라,좀비,0.5390366315841675,1
여자,사랑,0.5380519032478333,1
여행지,여행,0.5410048961639404,1
연루,범죄,0.6580730080604553,1
연출,액션,0.5377380847930908,4
영웅,신화,0.649358868598938,3
영향,기대,0.5794242024421692,2
영화,만화,0.7536719441413879,55
예고편,드라마,0.5787103772163391,1
온몸,상처,0.5155565738677979,1
외상,질병,0.5677670836448669,6
우울,불안,0.7772703766822815,1
우울증,정신병,0.6147485971450806,1
운반,수색,0.5822270512580872,1
웃음,개그,0.6434062123298645,1
원망,절망,0.6686849594116211,1
원작,만화,0.7227425575256348,1
위로,바다,0.5024420619010925,1
위생병,고문,0.5047106742858887,1
위협,폭력,0.639009416103363,2
유머,개그,0.6961884498596191,1
음악,음악,1,2
의료,의료,1,1
의욕,열정,0.6521819233894348,1
이별,이별,1,1
이해,철학,0.5395932197570801,3
인격,자아,0.7295798063278198,1
인문학,철학,0.6236739754676819,1
인물,정치,0.5848035216331482,5
인상,기대,0.6044384241104126,4
인프라,가상현실,0.5050304532051086,1
일상,유쾌,0.5978867411613464,2
일자리,희망,0.5018449425697327,1
일침,분노,0.5292429327964783,1
임신,질병,0.5124660134315491,2
자녀,가족,0.7003896832466125,1
자료,교육,0.5909054279327393,1
자연,환경,0.6941760182380676,4
작가,만화,0.6290877461433411,2
작전,전투,0.6892815232276917,1
잔혹,폭력,0.6832144260406494,3
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,5
장병,가족,0.5637844800949097,1
장소,여행,0.6031988263130188,1
