Word,Category,Similarity,Frequency
가정,가족,0.7013463377952576,1
감상,음악,0.6411212086677551,2
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,1
거대,괴물,0.5640032887458801,1
게임,만화,0.7299426198005676,5
공포,공포,1,8
공포물,개그,0.6559643149375916,1
관람,여행,0.5587009191513062,1
관심,기대,0.6249675154685974,1
광고,방송,0.6559303998947144,1
괴물,괴물,1,1
남자,사랑,0.5456969141960144,3
납부,여행,0.5136650800704956,1
느낌,슬픔,0.6343626976013184,8
담배,음식,0.6096588969230652,4
도망,도둑,0.5489647388458252,1
도시,도시,1,1
독창,춤,0.6945516467094421,1
독특,춤,0.5334261655807495,1
랜덤,좀비,0.5619427561759949,1
로맨스,로맨스,1,1
마음,기쁨,0.6783162951469421,1
매력,열정,0.6489761471748352,2
메일,만화,0.5050849914550781,1
모습,꿈,0.5368646383285522,1
문제,갈등,0.6495088934898376,2
불만,분노,0.6757481098175049,1
빈곤,질병,0.6973947882652283,1
사람,꿈,0.5610076785087585,3
사랑,사랑,1,5
삼각,우정,0.5756801962852478,1
생각,후회,0.6602693200111389,9
생존법,미래,0.5213397741317749,1
세금,경제,0.6260770559310913,1
세상,기쁨,0.6082786321640015,3
소멸,상실,0.6378204226493835,1
소설,만화,0.8215566873550415,1
숙녀,사랑,0.6187119483947754,1
시작,발견,0.534450113773346,1
안개,유령,0.5902785062789917,2
어둠,절망,0.694835364818573,1
엄마,사랑,0.5908297300338745,1
역경,절망,0.6212114691734314,1
연출,액션,0.5377380847930908,3
영화,만화,0.7536719441413879,37
옛날,시골,0.5727385878562927,1
외계,우주,0.6573302745819092,1
욕망,욕망,1,1
욕심,욕망,0.6326161026954651,1
원작,만화,0.7227425575256348,4
월세,가족,0.5247201323509216,1
이불,가족,0.5773225426673889,1
이해력,자기성찰,0.5410407781600952,1
인상,기대,0.6044384241104126,1
일당,해적,0.5479298233985901,2
자식,가족,0.5835269689559937,1
잔인,음모,0.569640040397644,1
장르,음악,0.7329081892967224,1
저주,살인,0.6187702417373657,1
제작,방송,0.6307950615882874,1
제품,환경,0.5750954747200012,1
집세,불안,0.5149542689323425,1
청춘,사랑,0.612774670124054,3
추천,여행,0.5768113136291504,1
충고,희망,0.5609210729598999,1
크리쳐,마법,0.5700440406799316,1
터득,후회,0.5215193033218384,1
특성,환경,0.650132417678833,1
플레이,서바이벌,0.5245938897132874,1
행복,기쁨,0.7726561427116394,7
협업,대화,0.5782889723777771,1
환경,환경,1,1

Category,Count,average
만화,5,0.706599760055542
사랑,5,0.6736026525497436
가족,4,0.5967289954423904
환경,3,0.7417426307996114
기쁨,3,0.686417023340861
여행,3,0.5497257709503174
욕망,2,0.8163080513477325
괴물,2,0.7820016443729401
심리,2,0.6944933235645294
음악,2,0.6870146989822388
절망,2,0.6580234169960022
방송,2,0.6433627307415009
기대,2,0.614702969789505
춤,2,0.6139889061450958
후회,2,0.5908943116664886
꿈,2,0.5489361584186554
공포,1,1.0
도시,1,1.0
로맨스,1,1.0
질병,1,0.6973947882652283
분노,1,0.6757481098175049
우주,1,0.6573302745819092
개그,1,0.6559643149375916
갈등,1,0.6495088934898376
열정,1,0.6489761471748352
상실,1,0.6378204226493835
슬픔,1,0.6343626976013184
경제,1,0.6260770559310913
살인,1,0.6187702417373657
음식,1,0.6096588969230652
유령,1,0.5902785062789917
대화,1,0.5782889723777771
우정,1,0.5756801962852478
시골,1,0.5727385878562927
마법,1,0.5700440406799316
음모,1,0.569640040397644
좀비,1,0.5619427561759949
희망,1,0.5609210729598999
도둑,1,0.5489647388458252
해적,1,0.5479298233985901
자기성찰,1,0.5410407781600952
액션,1,0.5377380847930908
발견,1,0.534450113773346
서바이벌,1,0.5245938897132874
미래,1,0.5213397741317749
불안,1,0.5149542689323425
