Word,Category,Similarity,Frequency
갈피,꿈,0.5324289202690125,1
감상,음악,0.6411212086677551,1
거주,도시,0.6213511228561401,1
격파,전투,0.590761125087738,1
경험,열정,0.6344258189201355,1
고뇌,고독,0.6679061055183411,1
고정관념,자존심,0.5037301778793335,1
고통,고통,1,3
공포,공포,1,4
과정,교육,0.6268183588981628,4
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,1
구석,철학,0.5159526467323303,1
국가,경제,0.7089344263076782,1
굴레,욕망,0.5908722877502441,1
귀결,혼란,0.515130341053009,1
규칙,윤리,0.5834123492240906,1
그림자,유령,0.5297560691833496,1
기대,기대,1,2
기분,유쾌,0.6678951382637024,1
기쁨,기쁨,1,1
기억,사랑,0.6537694931030273,2
남자,사랑,0.5456969141960144,10
내레이션,다큐멘터리,0.5530755519866943,1
노력,헌신,0.6555296182632446,1
논리,철학,0.5892475247383118,4
눈길,동정,0.5653472542762756,2
느낌,슬픔,0.6343626976013184,1
단편,만화,0.737099826335907,2
담론,정치,0.6720190644264221,1
담장,학교,0.5684550404548645,1
당황,충격,0.6099472045898438,1
데뷔작,드라마,0.5683770775794983,3
도달,발견,0.5293484926223755,1
독특,춤,0.5334261655807495,1
라이프,판타지,0.5347487926483154,1
마음,기쁨,0.6783162951469421,1
매개,동물,0.5523080229759216,1
매몰,고통,0.5522159337997437,1
메시지,대화,0.5048822164535522,2
모습,꿈,0.5368646383285522,11
목격,발견,0.6813858151435852,1
몰두,열정,0.5224281549453735,1
물건,인형,0.6116355657577515,2
물음,절망,0.5957352519035339,6
미래,미래,1,2
미술가,미술,0.5302937626838684,1
미스터리,미스터리,1,1
바다,바다,1,1
배급,교육,0.5531435608863831,1
배치,수색,0.5295758843421936,1
번뇌,자아,0.6854749917984009,7
번아웃,무력감,0.5329789519309998,1
복지,교육,0.7402962446212769,1
불교,종교,0.7700591087341309,6
블루스,뮤지컬,0.568301796913147,1
사람,꿈,0.5610076785087585,20
사색,철학,0.6594800353050232,1
사운드,음악,0.5262696146965027,1
사진,미술,0.5546669960021973,7
상념,고독,0.6749123334884644,1
상반,기대,0.5090402364730835,2
상황,혼란,0.6442916989326477,1
색감,미술,0.5213123559951782,1
생각,후회,0.6602693200111389,10
서사,신화,0.6202012896537781,2
선불교,종교,0.5012298822402954,1
세계,경제,0.6071235537528992,1
소거,평온,0.5351399779319763,1
속박,충격,0.6008642315864563,1
수수께끼,미스터리,0.61151123046875,1
수행,성장,0.5646498799324036,1
스님,고문,0.5142120122909546,1
시작,발견,0.534450113773346,8
식당,음식,0.6759225726127625,1
식음,음식,0.5944265127182007,1
신비,기쁨,0.6222472786903381,1
압축,충격,0.5453988909721375,1
애니메이션,만화,0.68199223279953,4
언어,교육,0.6619911193847656,4
여자,사랑,0.5380519032478333,4
역설,미래,0.5096436142921448,2
연작,유령,0.5906467437744141,1
연출,액션,0.5377380847930908,3
영향,기대,0.5794242024421692,2
영화,만화,0.7536719441413879,60
예고편,드라마,0.5787103772163391,1
웃음,개그,0.6434062123298645,2
원고,고문,0.537358820438385,1
위로,바다,0.5024420619010925,1
육체,자아,0.5753576159477234,1
음악,음악,1,3
이름,신화,0.5608668327331543,1
이해,철학,0.5395932197570801,1
인물,정치,0.5848035216331482,9
인상,기대,0.6044384241104126,3
자각,무력감,0.6221117377281189,1
자연,환경,0.6941760182380676,2
자연물,동물,0.5513818264007568,1
자조,자아,0.6398823261260986,1
작가,만화,0.6290877461433411,2
작업,수색,0.6102691888809204,1
잔상,고독,0.5485344529151917,3
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,6
장벽,불안,0.5758340358734131,1
장편,만화,0.7140740752220154,3
전시,미술,0.6214971542358398,3
전시회,미술,0.5285125374794006,1
정보,교통,0.6121577620506287,1
죽음,고독,0.6896678805351257,17
줄거리,드라마,0.531794548034668,1
직관,심리,0.5504079461097717,1
진입,추격,0.5556859374046326,1
진정,기쁨,0.5493860840797424,1
질문,대화,0.5432519912719727,7
짐작,기대,0.5603034496307373,1
집착,욕망,0.6720618605613708,3
참여,기대,0.5516729950904846,1
창작,만화,0.6693662405014038,4
체계,질서,0.6883434057235718,2
체험,교육,0.6782315373420715,2
추억,사랑,0.6609922647476196,1
추천,여행,0.5768113136291504,1
추측,의심,0.6156793236732483,1
출산,교육,0.600229024887085,1
탄생,신화,0.5951989889144897,1
탐험,탐험,1,1
택배,교통,0.5790067315101624,1
통화,경제,0.6143816113471985,1
투명,액션,0.5615780353546143,1
파묘,액션,1,1
페인팅,미술,0.5054681897163391,1
표현,대화,0.5644240975379944,3
합일,자아,0.5418827533721924,2
해변,여행,0.6242720484733582,1
혼란,혼란,1,1
화면,액션,0.6001543998718262,2
확언,기쁨,0.5239713788032532,1
활약,성장,0.5549848675727844,1
활용,교육,0.557722270488739,4
회의,대화,0.5878562331199646,1

Category,Count,average
교육,7,0.6312045880726406
만화,6,0.6975486775239309
기대,6,0.6341465512911478
미술,6,0.543625166018804
기쁨,5,0.6747842073440552
액션,5,0.6598757743835449
음악,4,0.7250747531652451
고독,4,0.6452551931142807
자아,4,0.6106494218111038
사랑,4,0.5996276438236237
철학,4,0.5760683566331863
대화,4,0.550103634595871
혼란,3,0.7198073466618856
경제,3,0.6434798638025919
욕망,3,0.6407302816708883
신화,3,0.592089037100474
여행,3,0.5865947604179382
충격,3,0.5854034423828125
발견,3,0.5817281405131022
드라마,3,0.5596273342768351
꿈,3,0.5434337457021078
미스터리,2,0.805755615234375
고통,2,0.7761079668998718
미래,2,0.7548218071460724
바다,2,0.7512210309505463
종교,2,0.6356444954872131
음식,2,0.6351745426654816
정치,2,0.6284112930297852
교통,2,0.5955822467803955
열정,2,0.5784269869327545
무력감,2,0.5775453448295593
수색,2,0.569922536611557
유령,2,0.5602014064788818
성장,2,0.559817373752594
동물,2,0.5518449246883392
고문,2,0.5257854163646698
공포,1,1.0
탐험,1,1.0
환경,1,0.6941760182380676
질서,1,0.6883434057235718
유쾌,1,0.6678951382637024
후회,1,0.6602693200111389
헌신,1,0.6555296182632446
개그,1,0.6434062123298645
슬픔,1,0.6343626976013184
도시,1,0.6213511228561401
의심,1,0.6156793236732483
인형,1,0.6116355657577515
절망,1,0.5957352519035339
전투,1,0.590761125087738
윤리,1,0.5834123492240906
불안,1,0.5758340358734131
학교,1,0.5684550404548645
뮤지컬,1,0.568301796913147
동정,1,0.5653472542762756
추격,1,0.5556859374046326
다큐멘터리,1,0.5530755519866943
심리,1,0.5504079461097717
평온,1,0.5351399779319763
판타지,1,0.5347487926483154
춤,1,0.5334261655807495
자존심,1,0.5037301778793335
